Example Object,Example Object Dimension (meters)
Hypothetical particles (preons),1e-18
Proton,1.6e-15
Neutron,1.6e-15
Helium atom,1e-10
Water molecule,2.75e-10
DNA molecule,2.5e-9
Human embryo cell,1e-4
Bacterium,1e-6
Virus,1e-7
Red blood cell,8e-6
Human,1.7
Whale,20
Mount Everest,8848
Earth’s diameter,1.27e7

Distance from Earth to Moon,3.84e8
Sun’s diameter,1.39e9
Red giant star,1e10
Supergiant star,1e11
Distance from Earth to Sun,1.5e11
Solar System’s diameter (Neptune’s orbit),9.5e12
Oort Cloud,1.5e15
Milky Way Galaxy,1e21
Andromeda Galaxy,2e21
Local Group of Galaxies,5e22
Observable Universe,8.8e26
Laniakea Supercluster,5e24
